,Date,post_cum_y,preds,post_preds,post_preds_lower,post_preds_upper,preds_lower,preds_upper,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
107,2011-07-10,,128.48759917498856,,,,-375135.6491981599,375392.6243965098,,,,-8.347729174988558,-375272.48452650977,375255.78906815994,,,
108,2011-07-17,,127.8939348710597,,,,-375018.9544929218,375274.74236266396,,,,-8.543600871059695,-375155.39202866395,375138.30482692184,,,
109,2011-07-24,,128.2789059445992,,,,-375018.56952323247,375275.12733512156,,,,-16.253644944599188,-375163.1020741216,375130.59478423244,,,
110,2011-07-31,,127.68555436009629,,,,-374907.5618488051,375162.9329575253,,,,-32.54742436009629,-375067.79482752533,375002.6999788051,,,
111,2011-08-07,,127.88247557616319,,,,-374907.3649289532,375163.12988010544,,,,-30.331892576163185,-375065.57929710543,375004.9155119532,,,
112,2011-08-14,,126.91061568042208,,,,-374802.0192135238,375055.84044488455,,,,-42.68550268042209,-374971.61533188453,374886.2443265238,,,
113,2011-08-21,,127.16028765178515,,,,-374801.7695428978,375056.09011820133,,,,-39.69812965178515,-374968.62796020135,374889.2317008978,,,
114,2011-08-28,,125.91792956518579,,,,-374701.6112441874,374953.44710331777,,,,-36.087187565185786,-374863.61636131775,374791.4419861874,,,
115,2011-09-04,,126.2370753282849,,,,-374701.29209975235,374953.76625040884,,,,-42.2225263282849,-374869.7517014088,374785.30664875236,,,
116,2011-09-11,,125.09776620450764,,,,-374605.6142767472,374855.80980915617,,,,-33.60022320450764,-374764.3122661562,374697.1118197472,,,
117,2011-09-18,,125.27747245082942,,,,-374605.4345718126,374855.98951671424,,,,-43.719214450829426,-374774.43125871423,374686.99282981263,,,
118,2011-09-25,,124.35109457026923,,,,-374513.82342428353,374762.5256134241,,,,-42.599828570269224,-374680.7743474241,374595.5746902835,,,
119,2011-10-02,,124.30593434381234,,,,-374513.8685858065,374762.4804544941,,,,-41.142306343812336,-374679.3168264941,374597.0322138065,,,
120,2011-10-09,,123.42501133226688,,,,-374426.2139609248,374673.0639835893,,,,-33.46267033226688,-374583.1016425893,374516.1763019248,,,
121,2011-10-16,,123.41153637255094,,,,-374426.22743716685,374673.050509912,,,,-33.27374237255094,-374582.91271591204,374516.3652311668,,,
122,2011-10-23,,122.7130396160777,,,,-374342.1382407276,374587.5643199598,,,,-20.60072761607769,-374485.4520079598,374444.2505527276,,,
123,2011-10-30,,122.70358440181256,,,,-374342.147697211,374587.5548660146,,,,-20.898317401812562,-374485.7495990146,374443.952964211,,,
124,2011-11-06,,122.28385778613128,,,,-374261.2945325923,374505.86224816454,,,,-19.250448786131273,-374402.8288391645,374364.3279415923,,,
125,2011-11-13,,122.26820278479184,,,,-374261.31018885033,374505.84659441985,,,,-25.682600784791845,-374409.26099241985,374357.89579085034,,,
126,2011-11-20,,121.8909914789436,,,,-374183.71518879215,374427.49717174994,,,,-33.2883994789436,-374338.89457974996,374272.31778079213,,,
127,2011-11-27,,121.74406806767905,,,,-374183.8621134482,374427.35024958354,,,,-22.088070067679055,-374327.69425158354,374283.5181114482,,,
128,2011-12-04,,121.22522348287808,,,,-374109.51235115825,374351.96279812395,,,,-24.28872248287807,-374255.0262971239,374206.44885215827,,,
129,2011-12-11,,121.30230666049302,,,,-374109.43526921433,374352.0398825353,,,,-30.550444660493014,-374261.2880205353,374200.1871312143,,,
130,2011-12-18,,120.74897401523506,,,,-374038.0419074633,374279.53985549376,,,,-28.023281015235057,-374186.81416249374,374130.7676004633,,,
131,2011-12-25,,120.70327832626467,,,,-374038.0876043756,374279.49416102807,,,,-29.775956326264662,-374188.5668390281,374129.0149263756,,,
132,2012-01-01,,99.14282193292391,,,,60.93567716741636,137.34996669843144,,,,-2.162444932923904,-40.36958969843144,36.044699832583646,,,
133,2012-01-08,,100.85323835610777,,,,62.6586277806813,139.04784893153422,,,,-0.5393043561077633,-38.733914931534215,37.6553062193187,,,
134,2012-01-15,,96.01521320541485,,,,57.83293186122843,134.1974945496013,,,,11.316741794585141,-26.865539549601294,49.49902313877156,,,
135,2012-01-22,,96.76758068601484,,,,58.59569860024155,134.93946277178813,,,,11.704808313985168,-26.467073771788122,49.87669039975846,,,
136,2012-01-29,,95.45808746963526,,,,57.29648244433426,133.61969249493626,,,,16.74263453036474,-21.41897049493626,54.90423955566574,,,
137,2012-02-05,,100.70800394046859,,,,62.55503570502094,138.86097217591623,,,,10.878635059531419,-27.274333175916226,49.031603294979064,,,
138,2012-02-12,,98.79972798203045,,,,60.655330038971556,136.94412592508937,,,,14.716874017969559,-23.42752392508936,52.86127196102845,,,
139,2012-02-19,,95.53049121607613,,,,57.393263957567,133.66771847458526,,,,15.529795783923873,-22.607431474585255,53.667023042433,,,
140,2012-02-26,,93.19121018151424,,,,55.06112377434165,131.3212965886868,,,,21.290372818485764,-16.839713588686806,59.42045922565835,,,
141,2012-03-04,,93.2726053211197,,,,55.14846362253047,131.3967470197089,,,,19.893097678880295,-18.231044019708904,58.01723937746952,,,
142,2012-03-11,,90.35970021511908,,,,52.241495666602475,128.4779047636357,,,,23.507807784880924,-14.610396763635705,61.626012333397526,,,
143,2012-03-18,,93.73044723215634,,,,55.617157940457076,131.84373652385563,,,,14.654226767843667,-23.45906252385562,52.76751605954293,,,
144,2012-03-25,,96.53906785858891,,,,58.430698029124,134.64743768805383,,,,9.520876141411094,-28.587493688053826,47.629245970876,,,
145,2012-04-01,,95.10672463695838,,,,57.00240128602805,133.2110479878887,,,,8.146006363041622,-29.958316987888693,46.25032971397195,,,
